 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P20CM139,20,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3,40.5,124.7,C,,,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.7,0.1,0.66,0.84,1.1,5.4,85,0.17,0.14,1.11,14.4,3,1,17.8,0.8,16.97,18.38,21.9,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.7,1.4,56.39,59.15,58.8,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P20CM140,20,CFM International,LEAP-1B28/28B1/28B2/28B3,TAPS II,TF,8.3,42.0,130.4,C,,,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.46,3,1,0.6,0.1,0.66,0.84,0.9,4.8,79,0.18,0.15,0.99,13.77,3,1,16.7,0.8,16.97,18.38,20.5,17.4,2176,64.36,29.59,11.92,4.68,3,1,60.1,1.4,56.39,59.15,69.7,56.2,70.2,76.6,84,94,2.3.2 e),7837,0.9,0.9,1.1,0.8,3,1,1.2,0.3,0.3,0.9,1.5,6.8,Jet A,1.9,1.9,14.7,14.7,1.075,0.873,0.285,0.097,380,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,
01P11GE202,11,General Electric Company,CF34-10A16/16-B,SAC,TF,5.7,25.1,76.9,C,,,DTEPS,Yes,,,0.06,0.08,0.14,6.96,3,1,11.9,0.6,11.2,12.3,18.4,93.9,919,0.49,0.34,3.98,52.05,3,1,91.2,1.9,89.4,93.2,111.9,94.8,7014,17.87,15.04,7.97,3.45,3,1,35,0.4,34.6,35.4,40.6,45,56.3,65.8,73,84.3,2.3.2 e),2696,11.1,5.1,0.1,0.4,3,1,11.1,0.6,10.5,11.7,14.2,55.8,Jet A-1,1.92,1.92,16.3,17.4,0.765,0.632,0.219,0.083,298,0,All,0,All,97.2,97.9,296,300,0.0099,0.0127,Peebles Test Operation,Site 4D,05/09/2006,10/09/2006,Yes,GE Report R2007AE480Engine 994-251/1,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,,,
01P05GE189,5,General Electric Company,CF34-3B/-3B1,SAC,TF,6.3,19.3,41.0,C,,,NME,Yes,,,0.06,0.05,0.13,4.69,3,1,8.9,,,,13.7,69.9,366,0,0,1.88,47.59,3,1,89.7,,,,110.1,93.3,3683,11.28,9.68,6.63,3.72,3,1,26.3,,,,30.5,38.8,48.5,50.9,52.1,56.4,2.3.2 e),1078,18.3,9.2,3.1,3.1,3,1,18.3,,,,23.6,78.1,Jet A,1.92,1.92,20.3,20.3,0.399,0.329,0.116,0.049,164,0,,0,,101.6,102.9,275.5,281.1,0.0016,0.0039,General Electric Company,Lynn Cell 121,21/03/1991,25/03/1991,,Ref. GE Report R95AEB012,Engine S/N 807-005,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,,
01P08GE190,8,General Electric Company,CF34-8C5,LEC,TF,5.1,23.1,59.4,C,,,NME,Yes,,,0.02,0.02,0.06,0.13,3,1,0.3,,,,0.5,2.4,18,0.64,0.57,4.24,18.25,3,1,34.9,,,,42.8,36.3,2071,14.69,12.6,10.75,4.6,3,1,37.1,,,,43,49.9,62.4,69.3,73.4,82.2,2.3.2 e),2205,8.3,2.1,0,0,3,1,8.3,,,,10.7,39.2,Jet A,1.94,1.94,18,18,0.648,0.530,0.179,0.064,240,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE191,8,General Electric Company,CF34-8C5A1,LEC,TF,5.1,23.5,60.6,C,,,NME,Yes,,,0.02,0.02,0.06,0.13,3,1,0.3,,,,0.5,2.3,18,0.66,0.57,4.17,17.85,3,1,33.8,,,,41.5,35.2,2051,15.09,12.82,10.87,4.65,3,1,37.7,,,,43.7,50.3,62.8,70,74.4,83.4,2.3.2 e),2287,10.0,2.7,0,0,3,1,10.0,,,,12.8,47.2,Jet A,1.94,1.94,18,18,0.665,0.543,0.183,0.065,245,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE192,8,General Electric Company,CF34-8C5B1,LEC,TF,5.1,22.1,56.4,C,,,NME,Yes,,,0.02,0.03,0.07,0.16,3,1,0.4,,,,0.6,2.8,20,0.6,0.58,4.44,19.52,3,1,38.0,,,,46.7,39.5,2142,13.89,12.03,10.42,4.5,3,1,35.7,,,,41.3,49.1,61.4,67.6,71.2,79.3,2.3.2 e),2010,5.2,1.1,0,0,3,1,5.2,,,,6.7,24.1,Jet A,1.94,1.94,18,18,0.606,0.497,0.171,0.063,230,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE193,8,General Electric Company,CF34-8C5A2,LEC,TF,5.1,24.1,62.5,C,,,NME,Yes,,,0.02,0.02,0.06,0.13,3,1,0.3,,,,0.4,2.3,18,0.71,0.57,4.05,17.3,3,1,32.4,,,,39.8,33.7,2026,15.81,13.15,11.06,4.7,3,1,38.7,,,,44.9,50.9,63.6,71.1,75.9,85.4,2.3.2 e),2419,13.6,3.5,0,0,3,1,13.6,,,,17.6,65.2,Jet A,1.94,1.94,18,18,0.691,0.563,0.188,0.066,251,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE194,8,General Electric Company,CF34-8C5A3,LEC,TF,5.1,24.8,64.5,C,,,NME,Yes,,,0.02,0.02,0.06,0.12,3,1,0.3,,,,0.4,2.2,18,0.77,0.57,3.92,16.71,3,1,31.0,,,,38,32.2,1999,16.71,13.52,11.09,4.76,3,1,39.8,,,,46.1,51.4,64.2,72.2,77.4,87.4,2.3.2 e),2565,17.3,4.4,0,0,3,1,17.3,,,,22.2,83.3,Jet A,1.94,1.94,18,18,0.721,0.586,0.193,0.067,259,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE197,8,General Electric Company,CF34-8E5,LEC,TF,5.1,23.2,59.7,C,,,NME,Yes,,,0.02,0.02,0.06,0.13,3,1,0.3,,,,0.5,2.4,18,0.64,0.57,4.23,18.16,3,1,34.6,,,,42.5,36,2066,14.77,12.65,10.77,4.61,3,1,37.3,,,,43.2,50,62.5,69.4,73.6,82.5,2.3.2 e),2223,8.6,2.2,0,0,3,1,8.6,,,,11.1,40.7,Jet A,1.94,1.94,18,18,0.652,0.533,0.180,0.064,241,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P08GE198,8,General Electric Company,CF34-8E5A1,LEC,TF,5.1,24.1,62.5,C,,,NME,Yes,,,0.02,0.02,0.06,0.13,3,1,0.3,,,,0.4,2.3,18,0.71,0.57,4.05,17.3,3,1,32.4,,,,39.8,33.7,2026,15.81,13.15,11.06,4.7,3,1,38.7,,,,44.9,50.9,63.6,71.1,75.9,85.4,2.3.2 e),2419,13.6,3.5,0,0,3,1,13.6,,,,17.6,65.2,Jet A,1.94,1.94,18,18,0.691,0.563,0.188,0.066,251,0,,0,,97.1,98.1,284,292,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,27/01/2002,28/01/2002,,Ref. GE REPORT R2001AE078,Engine S/N 193111,"Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P02GE186,2,General Electric Company,CF6-80C2B1F,LEC,TF,5.1,30.1,254.3,C,,,NME,Yes,,,0.05,0.05,0.11,1.54,4,2,2.0,0.2,1.87,2.36,2.6,13.3,513,0.04,0.04,2.13,19.23,4,2,24.8,1.2,23.7,26.5,28.2,23.9,6317,24.94,19.72,12.47,4.73,4,2,43.7,0.3,43.3,44,48,47.9,59.9,71.4,81.1,95.3,2.3.2 e),11113,6.9,4.5,0,0,4,2,6.9,0.6,6.2,7.7,8.1,44.1,Jet A,1.94,1.94,15.3,15.3,2.422,1.983,0.650,0.199,830,0,,0,,97.6,98.2,279,293,0.00457,0.00743,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13/01/1995,17/01/1995,,Ref GE report TM95-17.,Engine S/N 704/233 & 704/234,1862M39 combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P03GE187,3,General Electric Company,CF6-80C2B5F,LEC,TF,5.1,32.8,272.5,C,,,NME,Yes,,,0.05,0.05,0.11,1.31,4,2,1.7,,,,2.2,11.2,459,0.05,0.04,1.83,17.45,4,2,21.8,,,,24.8,21,5931,28.58,21.76,12.74,4.91,4,2,48.2,,,,53,50.2,62.7,73,82,95.1,2.3.2 e),13142,7.4,5.2,0,0,4,2,7.4,,,,8.7,48.4,Jet A,1.94,1.94,15.3,15.3,2.685,2.162,0.697,0.206,887,0,,0,,97.6,98.2,279,293,0.0046,0.0074,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13/01/1995,17/01/1995,,GE Report TM95-17.,Engine S/N 704/223 & 704/234,1862M39 combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P02GE188,2,General Electric Company,CF6-80C2B6F,LEC,TF,5.1,31.7,267.0,C,,,NME,Yes,,,0.05,0.05,0.11,1.43,4,2,1.8,0.2,1.68,2.16,2.4,12.1,490,0.05,0.04,1.93,18.42,4,2,23.0,1.2,21.9,24.7,26.3,22.2,6166,27.38,21.05,12.63,4.81,4,2,46.5,0.4,46,46.8,51.1,49.4,61.8,72.6,82,95.4,2.3.2 e),12420,6.9,5.3,0,0,4,2,6.9,0.9,5.9,8.2,8.1,44.7,Jet A,1.94,1.94,15.3,15.3,2.594,2.104,0.682,0.203,867,0,,0,,97.6,98.2,279,293,0.00457,0.00743,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13/01/1995,17/01/1995,,Ref GE report TM95-17.,Engine S/N 704/233 & 704/234,1862M39 combustor,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)",,,
01P21GE216,21,General Electric Company,GE90-110B1,DAC,TF,7.3,40.4,492.6,C,,,NME,Yes,,,0.03,0.02,0.05,3.87,6,2,4.1,0.3,3.78,4.46,5.4,27.5,2043,0.13,0.14,2.50,35.72,6,2,39.2,1.4,37.37,40.70,44.6,37.8,19317,45.25,34.39,15.53,5.42,6,2,60.9,1.1,59.06,62.32,67.0,55.5,69.4,76.4,84.1,94.6,2.3.2 e),30010,3.0,2.2,1.6,1.4,6,2,3.0,1.30,0.7,3.80,3.5,22.7,Jet A,1.90,1.96,11.9,16.4,4.226,3.375,1.029,0.334,1391,0,All,0,All,97.1,98.3,290.7,298.7,0.0051,0.0094,General Electric Company,"PTO, Ohio",23/11/2003,26/05/2016,Yes,"Engine S/N 906-107/01 and ESN 901-007/01, GE Report R2019EA459","Engine S/N 906-107/01 smoke numbers corrected for fuel aromatics volume, GE Report R2003AE462",Smoke Number for each LTO mode is average of max SN for test points around that power setting,Average SN (MAX) is the average of the maximum smoke number point from each run.,"Certification in accordance with Part III, Chapter 2, of Amendment 9 of ICAO Annex 16 Vol. II.",,,
01P21GE217,21,General Electric Company,GE90-115B,DAC,TF,7.1,42.9,513.9,C,,,NME,Yes,,,0.03,0.02,0.05,3.64,6,2,3.8,0.3,3.51,4.11,5.0,25.4,1964,0.13,0.14,2.16,34.58,6,2,37.1,1.3,35.36,38.56,42.2,35.8,19039,51.07,36.44,16.17,5.51,6,2,66.4,1.1,64.60,67.83,73.00,58.0,72.5,78.6,86.0,96.1,2.3.2 e),34114,3.4,2.2,1.60,1.3,6,2,3.4,1.6,0.7,4.5,4.0,26.3,Jet A,1.90,1.96,11.9,16.4,4.600,3.566,1.073,0.341,1453,0,All,0,All,97.1,98.3,290.7,298.7,0.0051,0.0094,General Electric Company,"PTO, Ohio",23/11/2003,26/05/2016,Yes,"Engine S/N 906-107/01 and ESN 901-007/01, GE Report R2019EA459","Engine S/N 906-107/01 smoke numbers corrected for fuel aromatics volume, GE Report R2003AE462",Smoke Number for each LTO mode is average of max SN for test points around that power setting,Average SN (MAX) is the average of the maximum smoke number point from each run.,"Certification in accordance with Part III, Chapter 2, of Amendment 9 of ICAO Annex 16 Vol. II.",,,
01P17GE204,17,General Electric Company,GEnx-1B54/P2,TAPS,TF,9.4,35.5,255.3,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.06,0.58,3,1,0.8,0.1,0.7,0.83,1.2,6.1,197,0.32,1.73,2.81,16.39,3,1,23.2,0.1,23.11,23.29,28.5,24.1,5928,17.22,11.54,9.27,4.66,3,1,25.0,0.1,24.88,25.06,28.9,26.1,32.6,37.1,41.4,47.4,2.3.2 e),6374,0.1,0.1,0.0,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.1,Jet A,1.89,1.89,15.4,15.4,1.880,1.554,0.527,0.203,727,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE205,17,General Electric Company,GEnx-1B58/P2,TAPS,TF,9.2,37.5,271.3,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.58,3,1,0.7,0.1,0.66,0.78,1.1,5.7,197,0.18,0.93,2.52,16.39,3,1,21.2,0.0,21.12,21.21,26.0,22.0,5750,20.43,13.27,9.67,4.66,3,1,27.4,0.1,27.24,27.5,31.7,27.6,34.5,38.7,42.9,48.7,2.3.2 e),7426,0.1,0.1,0.1,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.2,Jet A,1.89,1.89,15.4,15.4,2.023,1.668,0.558,0.203,756,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE206,17,General Electric Company,GEnx-1B64/P2,TAPS,TF,9.0,40.9,298.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.56,3,1,0.6,0.1,0.58,0.69,1.0,5.1,191,0.09,0.34,2.11,16.13,3,1,18.6,0.0,18.58,18.64,22.9,19.4,5544,27.12,16.85,10.39,4.69,3,1,32.7,0.2,32.5,32.9,37.9,31.1,38.9,42.7,46.9,52.7,2.3.2 e),9747,0.2,0.1,0.1,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.3,Jet A,1.89,1.89,15.4,15.4,2.273,1.863,0.609,0.204,806,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE207,17,General Electric Company,GEnx-1B67/P2,TAPS,TF,8.9,42.2,308.7,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.5,3,1,0.6,0.0,0.52,0.61,0.9,4.5,176,0.08,0.24,1.97,15.49,3,1,17.5,0.0,17.49,17.54,21.5,18.2,5409,30.32,18.57,10.67,4.76,3,1,35.5,0.2,35.24,3568,41.1,33.1,41.3,45.0,49.3,55.2,2.3.2 e),10951,0.2,0.1,0.2,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.3,Jet A,1.89,1.89,15.4,15.4,2.376,1.943,0.629,0.209,833,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE208,17,General Electric Company,GEnx-1B70/72/P2,TAPS,TF,8.8,43.9,321.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.44,3,1,0.5,0.0,0.47,0.54,0.8,4.0,162,0.06,0.17,1.82,14.78,3,1,16.3,0.0,16.32,16.36,20.1,17,5256,34.77,20.87,11.02,4.85,3,1,39.3,0.3,39.02,39.52,45.5,35.6,44.5,48.0,52.5,58.4,2.3.2 e),12629,0.2,0.2,0.3,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.504,2.042,0.654,0.213,865,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE209,17,General Electric Company,GEnx-1B70/75/P2,TAPS,TF,8.8,43.9,321.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.44,3,1,0.5,0.0,0.47,0.54,0.8,4.0,162,0.06,0.17,1.82,14.78,3,1,16.3,0.0,16.32,16.36,20.1,17,5256,34.77,20.87,11.02,4.85,3,1,39.3,0.3,39.02,39.52,45.5,35.6,44.5,48.0,52.5,58.4,2.3.2 e),12629,0.2,0.2,0.3,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.504,2.042,0.654,0.213,865,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE210,17,General Electric Company,GEnx-1B70/P2,TAPS,TF,8.8,43.9,321.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.44,3,1,0.5,0.0,0.47,0.54,0.8,4.0,162,0.06,0.17,1.82,14.78,3,1,16.3,0.0,16.32,16.36,20.1,17,5256,34.77,20.87,11.02,4.85,3,1,39.3,0.3,39.02,39.52,45.5,35.6,44.5,48.0,52.5,58.4,2.3.2 e),12629,0.2,0.2,0.3,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.504,2.042,0.654,0.213,865,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE211,17,General Electric Company,GEnx-1B74/75/P2,TAPS,TF,8.7,46.4,341.2,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.38,3,1,0.4,0.0,0.4,0.45,0.7,3.4,145,0.05,0.11,1.61,13.8,3,1,14.8,0.0,14.78,14.82,18.2,15.4,5054,42.71,24.9,11.56,4.99,3,1,46.0,0.3,45.74,46.34,53.4,40.2,50.2,53.5,58.2,64.4,2.3.2 e),15707,0.2,0.2,0.4,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.704,2.196,0.693,0.221,914,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P17GE212,17,General Electric Company,GEnx-1B75/P2,TAPS,TF,8.6,47.0,345.2,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.04,0.37,3,1,0.4,0.0,0.39,0.44,0.6,3.3,143,0.05,0.1,1.57,13.62,3,1,14.5,0.0,14.5,14.54,17.8,15.1,5014,44.61,25.83,11.67,5.01,3,1,47.6,0.3,47.31,4794,55.2,41.2,51.5,54.7,59.4,65.6,2.3.2 e),16439,0.2,0.2,0.4,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.5,Jet A,1.89,1.89,15.4,15.4,2.746,2.229,0.701,0.222,924,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2010AE907,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
